component_id,current_stock_units,weeks_of_supply,reorder_point,safety_stock_units,last_replenishment_date
COMP-1043,34975,17.9,6690,4017,2024-06-05
COMP-1044,45719,24.6,296,4285,2024-04-23
COMP-1045,30198,14.9,2091,493,2024-05-07
COMP-1046,4461,5.4,1347,456,2024-04-04
COMP-1047,40130,5.4,5129,4748,2024-04-19
COMP-1048,37599,16.8,4759,2463,2024-06-03
COMP-1049,15755,4.7,673,4075,2024-04-03
COMP-1050,2299,21.7,6274,2561,2024-06-28
COMP-1051,38619,12.9,7678,4669,2024-05-01
COMP-1052,26299,16.3,3646,3711,2024-06-26
COMP-1053,20596,20.9,551,3470,2024-06-18
COMP-1054,35843,23.8,238,212,2024-06-06
COMP-1055,6596,21.9,5866,4937,2024-04-23
COMP-1056,23335,14.8,561,1126,2024-05-12
COMP-1057,19589,19.7,3566,861,2024-04-04
COMP-1058,3121,4.2,1557,3900,2024-04-24
COMP-1059,21494,20.8,4599,3179,2024-06-17
COMP-1060,29484,18.3,494,2068,2024-04-01
COMP-1061,46969,22.5,1038,575,2024-05-26
COMP-1062,47431,13.5,266,4768,2024-06-04
COMP-1063,38642,7.8,6965,3139,2024-05-17
COMP-1064,11865,21.6,2085,2094,2024-04-07
COMP-1065,33361,11.9,4093,3796,2024-04-02
COMP-1066,39394,21.1,1507,4244,2024-05-09
COMP-1067,12249,8.0,8820,1863,2024-06-03
COMP-1068,14119,0.9,3325,1846,2024-06-14
COMP-1069,32407,6.8,9947,2590,2024-06-28
COMP-1070,20645,10.9,2857,3429,2024-05-11
COMP-1071,46945,20.7,778,3579,2024-04-16
COMP-1072,2519,20.9,2210,1805,2024-05-28
COMP-1073,30533,24.4,4289,1694,2024-04-10
COMP-1074,26619,12.9,3813,682,2024-06-04
COMP-1075,42276,17.9,5203,1012,2024-06-21
COMP-1076,22020,18.8,9207,4898,2024-06-21
COMP-1077,6656,19.5,8703,3997,2024-06-01
COMP-1078,14583,22.4,5262,2982,2024-04-03
COMP-1079,11996,17.1,2882,215,2024-04-13
COMP-1080,38592,2.3,9883,3751,2024-05-15
COMP-1081,36775,0.6,8750,4331,2024-05-21
COMP-1082,22937,13.9,5884,1078,2024-04-25
COMP-1083,31651,20.5,748,4427,2024-06-04
COMP-1084,26127,11.2,8260,962,2024-06-26
COMP-1085,34505,20.4,9643,3402,2024-05-29
COMP-1086,26141,15.5,2773,3248,2024-04-02
COMP-1087,11810,24.7,2972,3919,2024-05-31
COMP-1088,48447,10.2,7071,2868,2024-06-22
COMP-1089,8603,4.7,9369,4307,2024-04-05
COMP-1090,40900,7.3,1122,104,2024-04-08
COMP-1091,13382,5.3,6620,4410,2024-05-07
COMP-1092,49932,22.8,1886,4625,2024-06-25
COMP-1093,5226,2.1,5345,4067,2024-04-28
COMP-1094,42201,21.7,9365,266,2024-05-27
COMP-1095,14877,3.6,2445,4055,2024-04-12
COMP-1096,33284,16.5,903,1896,2024-05-27
COMP-1097,23458,13.5,9959,1619,2024-05-11
COMP-1098,198,25.2,9188,813,2024-05-08
COMP-1099,33991,16.7,7982,781,2024-05-22
COMP-1100,2669,18.8,667,4482,2024-04-27
COMP-1101,29792,6.4,1255,577,2024-04-25
COMP-1102,29402,18.1,1582,2519,2024-04-26
COMP-1103,25226,7.1,3598,4055,2024-05-27
COMP-1104,35809,16.0,3656,2415,2024-04-24
COMP-1105,46208,1.3,8632,3809,2024-04-25
COMP-1106,20620,21.9,3210,4209,2024-06-23
COMP-1107,29107,14.5,5557,4068,2024-05-31
COMP-1108,36287,3.2,9707,1522,2024-06-17
COMP-1109,17637,13.6,6478,4991,2024-06-06
COMP-1110,43994,4.5,3112,1377,2024-04-12
COMP-1111,29487,6.7,5738,4650,2024-05-25
COMP-1112,572,23.1,9077,1366,2024-06-23
COMP-1113,11020,4.4,6576,1536,2024-06-11
COMP-1114,32663,23.3,8656,2070,2024-06-22
COMP-1115,16121,19.1,8752,2024,2024-04-21
COMP-1116,35514,13.4,7939,4836,2024-04-05
COMP-1117,26808,13.4,2083,3402,2024-06-01
COMP-1118,2270,2.6,8242,1626,2024-05-21
COMP-1119,38021,8.5,7758,2056,2024-06-08
COMP-1120,21826,18.7,2699,3947,2024-06-04
COMP-1121,20041,14.4,4086,2319,2024-04-06
COMP-1122,18588,5.2,7964,1776,2024-04-11
COMP-1123,12815,19.5,8464,3775,2024-05-14
COMP-1124,30093,18.6,791,563,2024-05-14
COMP-1125,25447,0.8,3167,1082,2024-06-09
COMP-1126,10596,3.4,6096,465,2024-05-02
COMP-1127,46728,8.6,8215,3535,2024-06-22
COMP-1128,8568,9.6,1483,266,2024-04-17
COMP-1129,35752,22.6,6379,81,2024-04-01
COMP-1130,36340,18.2,2105,4051,2024-05-19
COMP-1131,3004,8.8,4985,4520,2024-05-30
COMP-1132,12178,16.3,6795,2545,2024-06-01
COMP-1133,12880,15.2,1274,2060,2024-04-24
COMP-1134,40215,0.6,5630,1181,2024-06-04
COMP-1135,3682,19.4,7808,1083,2024-06-29
COMP-1136,6848,11.7,4756,4800,2024-05-02
COMP-1137,36597,16.3,1337,2945,2024-04-05
COMP-1138,23786,9.1,3780,2873,2024-06-27
COMP-1139,8278,24.3,668,402,2024-04-03
COMP-1140,43449,23.5,155,2947,2024-06-14
COMP-1141,47692,17.8,5658,1048,2024-05-28
COMP-1142,6433,16.5,5337,3476,2024-06-12
COMP-1143,27098,5.7,9944,3614,2024-06-29
COMP-1144,10329,11.4,9449,1683,2024-05-25
COMP-1145,12903,1.2,2829,691,2024-06-06
COMP-1146,41325,13.8,3994,3155,2024-05-19
COMP-1147,4432,23.7,8803,4822,2024-06-01
COMP-1148,21083,22.6,9600,3256,2024-04-07
COMP-1149,520,5.6,7093,3691,2024-06-12
COMP-1150,45241,13.4,9096,1943,2024-04-10
COMP-1151,16014,5.9,7234,4927,2024-05-26
COMP-1152,38292,1.0,9682,1201,2024-04-26
COMP-1153,46340,3.2,9790,3726,2024-06-05
COMP-1154,40431,22.0,5515,4945,2024-05-15
COMP-1155,40629,3.7,690,1455,2024-05-27
COMP-1156,21568,6.1,3293,1771,2024-04-15
COMP-1157,28112,21.6,366,941,2024-04-08
COMP-1158,14793,16.4,6338,3997,2024-06-16
COMP-1159,17610,10.1,5726,4435,2024-06-09
COMP-1160,9485,0.5,5875,4355,2024-06-05
COMP-1161,6024,12.1,6595,2220,2024-06-16
COMP-1162,42927,7.4,113,3227,2024-05-11
COMP-1163,19243,3.8,5392,4532,2024-05-05
COMP-1164,32692,15.4,9990,3972,2024-05-13
COMP-1165,11895,22.9,6264,2551,2024-04-05
COMP-1166,9878,5.7,506,4791,2024-06-19
COMP-1167,26732,1.7,7747,2790,2024-04-09
COMP-1168,814,15.9,303,3522,2024-06-05
COMP-1169,15617,11.8,4759,4773,2024-04-23
COMP-1170,43454,11.2,5017,3106,2024-04-25
COMP-1171,41244,20.7,9266,3563,2024-04-24
COMP-1172,734,23.5,4928,1192,2024-05-17
COMP-1173,43196,21.0,9310,4182,2024-06-16
COMP-1174,1598,19.4,565,1978,2024-04-29
COMP-1175,4493,25.4,6061,1630,2024-05-11
COMP-1176,24155,14.9,3544,4174,2024-06-27
COMP-1177,11095,23.5,5835,3391,2024-06-29
COMP-1178,24457,20.9,8469,2413,2024-06-20
COMP-1179,10666,20.0,8484,229,2024-05-16
COMP-1180,47520,7.8,2527,362,2024-05-05
COMP-1181,9588,8.8,2538,3270,2024-04-07
COMP-1182,46565,19.3,7321,385,2024-04-04
COMP-1183,28340,6.7,157,2695,2024-05-01
COMP-1184,1388,3.4,4439,1096,2024-04-20
COMP-1185,20656,14.4,566,751,2024-05-10
COMP-1186,12438,8.5,6396,3740,2024-06-27
COMP-1187,20357,24.2,8901,513,2024-05-17
COMP-1188,9052,15.3,304,3626,2024-06-01
COMP-1189,24621,4.8,1906,4312,2024-06-13
COMP-1190,33203,7.7,3375,4747,2024-04-15
COMP-1191,23398,11.4,5004,2357,2024-06-16
COMP-1192,16145,1.9,8772,3675,2024-06-08
COMP-1193,32694,18.4,6253,4127,2024-04-18
COMP-1194,32370,9.3,4162,1825,2024-06-04
COMP-1195,15535,9.4,5724,3560,2024-05-31
COMP-1196,5327,24.7,267,3429,2024-06-24
COMP-1197,28168,24.0,2781,4131,2024-04-24
COMP-1198,25045,17.4,5824,2916,2024-06-21
COMP-1199,49823,6.9,8106,4841,2024-04-04
COMP-1200,21013,16.4,2390,4506,2024-05-11
COMP-1201,27592,9.8,1516,1067,2024-04-20
COMP-1202,17290,25.1,2204,2498,2024-06-03
COMP-1203,8091,16.3,6305,3851,2024-05-18
COMP-1204,34166,19.5,6588,227,2024-05-05
COMP-1205,48771,16.0,5644,2822,2024-05-24
COMP-1206,49698,4.6,801,1072,2024-05-06
COMP-1207,31897,1.2,9279,1312,2024-05-12
COMP-1208,17868,14.8,2595,3377,2024-04-23
COMP-1209,20458,19.0,7381,1519,2024-04-20
COMP-1210,11805,13.5,818,2375,2024-06-06
COMP-1211,13647,20.5,9221,1325,2024-06-20
COMP-1212,3161,12.1,2508,3491,2024-04-04
COMP-1213,2405,15.0,1185,3109,2024-05-30
COMP-1214,41340,17.0,6499,69,2024-06-08
COMP-1215,10196,2.8,7880,4537,2024-04-17
COMP-1216,21739,15.5,2198,3169,2024-05-29
COMP-1217,5079,7.3,6137,3216,2024-05-09
COMP-1218,25068,10.0,181,4178,2024-04-16
COMP-1219,43688,13.2,4684,3969,2024-05-05
COMP-1220,30062,22.6,4399,3357,2024-05-24
COMP-1221,41998,22.9,9432,1364,2024-05-23
COMP-1222,12467,17.8,3721,65,2024-04-23
COMP-1223,9604,6.6,1940,4817,2024-06-16
COMP-1224,7582,18.7,7631,3424,2024-06-12
COMP-1225,28995,20.0,5415,4294,2024-04-05
COMP-1226,4395,8.3,1867,3147,2024-05-29
COMP-1227,10879,4.0,6287,2676,2024-06-12
COMP-1228,9612,14.3,7827,760,2024-06-15
COMP-1229,19537,3.9,3945,4498,2024-05-28
COMP-1230,40812,3.4,4062,3400,2024-06-24
COMP-1231,37394,23.1,8828,3509,2024-06-29
COMP-1232,10145,2.9,6448,3439,2024-04-18
COMP-1233,4594,16.2,8808,300,2024-05-05
COMP-1234,22724,6.9,3778,347,2024-05-16
COMP-1235,37186,17.6,1423,4674,2024-05-18
COMP-1236,6159,15.5,1858,3684,2024-04-19
COMP-1237,38137,14.0,5929,4106,2024-04-14
COMP-1238,41723,16.2,206,1275,2024-05-24
COMP-1239,4868,25.5,2016,4306,2024-05-24
COMP-1240,216,4.8,3419,3326,2024-04-01
COMP-1241,42196,2.3,8575,2780,2024-05-10
COMP-1242,5046,18.8,1559,1085,2024-05-17
COMP-1243,3760,14.7,1192,3763,2024-04-09
COMP-1244,9500,1.8,3478,4150,2024-04-05
COMP-1245,4997,12.6,1503,4939,2024-05-11
COMP-1246,32755,5.0,2447,777,2024-06-19
COMP-1247,44638,13.5,792,326,2024-04-15
COMP-1248,25035,18.4,1355,3118,2024-05-23
COMP-1249,20258,14.2,448,1850,2024-06-07
COMP-1250,18955,9.4,6092,1450,2024-05-01
COMP-1251,2739,6.7,9194,3810,2024-04-06
COMP-1252,2910,2.3,2122,3707,2024-06-12
COMP-1253,19177,17.8,8168,533,2024-04-03
COMP-1254,4135,11.0,7128,4199,2024-04-10
COMP-1255,3513,20.7,9586,4113,2024-05-10
COMP-1256,43164,5.1,8275,2201,2024-04-09
COMP-1257,10135,17.5,9996,3223,2024-06-12
COMP-1258,23615,25.0,1530,318,2024-04-12
COMP-1259,33876,24.7,7512,1304,2024-05-15
COMP-1260,1839,4.7,8889,3328,2024-06-13
COMP-1261,22220,9.0,5172,113,2024-05-22
COMP-1262,46328,1.9,8002,3797,2024-04-26
COMP-1263,27861,22.1,973,740,2024-06-11
COMP-1264,22609,15.6,7376,2488,2024-05-26
COMP-1265,2185,2.0,2748,3738,2024-05-29
COMP-1266,25480,4.0,2085,3405,2024-04-24
COMP-1267,15571,6.2,2204,932,2024-05-30
COMP-1268,48329,13.6,4680,1774,2024-05-01
COMP-1269,21942,12.8,5926,2263,2024-05-25
COMP-1270,48190,18.6,2731,2663,2024-06-01
COMP-1271,24191,15.4,8511,3836,2024-05-03
COMP-1272,7207,24.2,5137,1791,2024-05-23
COMP-1273,42875,23.3,4327,3258,2024-05-06
COMP-1274,3779,7.2,4547,2844,2024-06-07
COMP-1275,23547,7.6,8035,1077,2024-06-29
COMP-1276,17277,25.4,292,4286,2024-05-10
COMP-1277,38727,23.9,4941,439,2024-05-29
COMP-1278,5951,18.9,7971,3064,2024-05-18
COMP-1279,1175,25.1,7769,1742,2024-06-11
COMP-1280,32700,21.4,273,4787,2024-05-24
COMP-1281,25391,6.2,5490,1527,2024-04-15
COMP-1282,21906,24.8,7240,4423,2024-05-18
COMP-1283,11279,13.5,9768,1374,2024-05-05
COMP-1284,18518,13.0,6774,288,2024-05-10
COMP-1285,42933,9.7,2310,3437,2024-04-27
COMP-1286,9104,18.4,486,3175,2024-06-02
COMP-1287,5404,18.2,2791,1629,2024-06-10
COMP-1288,12476,25.8,9621,81,2024-05-19
COMP-1289,22870,2.5,4074,209,2024-04-20
COMP-1290,22025,24.3,1711,2365,2024-04-01
COMP-1291,8075,17.9,1311,4908,2024-05-19
COMP-1292,10008,5.1,5457,487,2024-04-25
COMP-1293,32138,23.1,1749,4100,2024-05-20
COMP-1294,2864,24.0,6385,2789,2024-04-24
COMP-1295,26422,10.8,5454,1515,2024-05-19
COMP-1296,47577,24.6,3482,798,2024-06-07
COMP-1297,24659,20.3,4152,2519,2024-05-28
COMP-1298,23948,6.7,8878,248,2024-06-27
COMP-1299,22270,13.5,6325,2028,2024-04-07
COMP-1300,30179,4.0,4289,2401,2024-05-31
COMP-1301,9049,15.4,3993,4822,2024-06-05
COMP-1302,34984,23.7,5548,3552,2024-05-22
COMP-1303,26670,6.3,6551,4372,2024-04-18
COMP-1304,4407,15.3,2770,1082,2024-06-02
COMP-1305,9459,8.7,767,2547,2024-06-10
COMP-1306,14318,7.3,8938,850,2024-04-03
COMP-1307,34044,6.1,4974,2169,2024-05-25
COMP-1308,36044,21.8,1916,1022,2024-06-19
COMP-1309,41061,1.7,8748,2726,2024-06-03
COMP-1310,29371,18.0,1485,3244,2024-05-14
COMP-1311,11010,9.8,9400,4635,2024-06-26
COMP-1312,6254,15.3,7641,2924,2024-04-16
COMP-1313,31014,19.3,4319,1926,2024-06-14
COMP-1314,24315,4.9,9996,4976,2024-04-16
COMP-1315,5851,20.5,2203,3683,2024-04-13
COMP-1316,25338,12.6,8779,3200,2024-05-22
COMP-1317,30320,15.3,8355,78,2024-05-05
COMP-1318,12595,11.9,2437,3963,2024-05-27
COMP-1319,30342,5.5,6687,2828,2024-05-24
COMP-1320,23191,14.4,8503,1970,2024-04-10
COMP-1321,10821,11.7,2402,103,2024-05-15
COMP-1322,11179,18.0,4066,353,2024-06-16
COMP-1323,15888,4.0,5242,386,2024-05-04
COMP-1324,48945,1.0,8320,2902,2024-05-19
COMP-1325,22348,18.9,4978,1001,2024-06-23
COMP-1326,2571,20.5,4120,2196,2024-05-13
COMP-1327,48837,9.8,7524,803,2024-04-08
COMP-1328,27675,2.8,865,4908,2024-05-13
COMP-1329,39249,16.8,4761,3283,2024-06-09
COMP-1330,35823,19.6,2337,730,2024-06-03
COMP-1331,8165,16.8,7300,2117,2024-06-22
COMP-1332,44135,22.9,7140,3559,2024-04-17
COMP-1333,8906,14.3,187,3944,2024-04-08
COMP-1334,48049,7.9,6027,55,2024-06-12
COMP-1335,2778,20.2,6881,783,2024-04-08
COMP-1336,35977,9.2,9067,3150,2024-05-06
COMP-1337,9046,2.9,1105,546,2024-06-23
COMP-1338,31108,4.4,9279,2588,2024-05-17
COMP-1339,29668,8.8,4387,4536,2024-05-12
COMP-1340,15539,10.2,127,1282,2024-05-17
COMP-1341,24256,18.4,8053,3253,2024-04-14
COMP-1342,310,4.1,3825,2237,2024-05-24
COMP-1343,40282,6.0,9635,3883,2024-06-14
COMP-1344,24848,24.7,9449,715,2024-06-16
COMP-1345,8800,11.5,7718,4101,2024-05-16
COMP-1346,47030,25.2,5037,2758,2024-06-13
COMP-1347,31723,0.6,7754,586,2024-05-04
COMP-1348,37096,19.7,6562,2917,2024-04-07
COMP-1349,18384,19.2,7563,3672,2024-06-07
COMP-1350,3082,12.4,9930,55,2024-05-23
COMP-1351,41048,10.5,5069,507,2024-05-07
COMP-1352,205,6.6,3561,383,2024-04-07
COMP-1353,38602,13.2,9286,911,2024-04-04
COMP-1354,45876,10.4,4216,2001,2024-04-08
COMP-1355,3343,19.9,6366,1006,2024-05-23
COMP-1356,17102,2.6,4129,169,2024-04-03
COMP-1357,20840,13.1,2357,1854,2024-06-19
COMP-1358,19301,10.5,6505,3085,2024-04-21
COMP-1359,46515,3.8,5331,830,2024-06-29
COMP-1360,27905,19.0,2203,1632,2024-04-16
COMP-1361,6852,14.2,3479,668,2024-06-08
COMP-1362,36774,25.1,8817,3796,2024-04-23
COMP-1363,49531,11.6,980,3111,2024-04-01
COMP-1364,4950,17.6,2371,4761,2024-04-06
COMP-1365,37382,16.0,7755,896,2024-05-15
COMP-1366,14632,10.6,9296,2044,2024-04-09
COMP-1367,46627,19.8,4367,4240,2024-04-08
COMP-1368,16626,8.4,5551,2348,2024-06-25
COMP-1369,10758,16.4,8112,3840,2024-06-06
COMP-1370,22916,24.0,8787,3160,2024-04-11
COMP-1371,19923,25.4,6055,1873,2024-04-12
COMP-1372,25466,25.5,1132,2294,2024-05-11
COMP-1373,46365,19.9,9209,3173,2024-05-02
COMP-1374,36026,1.2,3334,4289,2024-06-05
COMP-1375,33713,22.5,6890,4346,2024-06-29
COMP-1376,42006,17.7,2159,315,2024-06-04
COMP-1377,45507,2.6,1502,875,2024-05-03
COMP-1378,42065,22.4,5989,1868,2024-06-01
COMP-1379,25275,20.9,1453,3061,2024-04-02
COMP-1380,38786,22.6,3668,3173,2024-04-22
COMP-1381,25167,11.3,9125,1307,2024-06-20
COMP-1382,30800,20.0,1271,1243,2024-04-13
COMP-1383,2456,2.0,4624,3966,2024-06-23
COMP-1384,44613,23.9,6026,1969,2024-05-25
COMP-1385,20497,14.3,6541,1441,2024-04-10
COMP-1386,29948,5.6,8341,4726,2024-04-30
COMP-1387,15389,24.2,8491,2914,2024-05-07
COMP-1388,669,14.7,1841,682,2024-05-01
COMP-1389,37321,25.3,2797,2438,2024-06-09
COMP-1390,48097,11.3,9123,4178,2024-06-29
COMP-1391,15615,16.5,5479,1884,2024-04-12
COMP-1392,32482,2.9,5452,3564,2024-04-07
COMP-1393,33091,7.4,5697,2752,2024-04-10
COMP-1394,23111,3.0,1297,4684,2024-05-12
COMP-1395,10694,13.5,6286,2980,2024-04-07
COMP-1396,42801,25.8,2702,3242,2024-06-28
COMP-1397,26480,5.2,1273,1310,2024-06-22
COMP-1398,41776,22.6,4438,4194,2024-04-17
COMP-1399,9814,0.7,7473,4347,2024-04-13
COMP-1400,42068,19.2,4025,3134,2024-04-25
COMP-1401,12797,13.6,1857,4264,2024-04-07
COMP-1402,22964,18.7,2704,3347,2024-04-04
COMP-1403,12313,10.4,3670,2260,2024-05-20
COMP-1404,7545,11.7,8110,4327,2024-05-17
COMP-1405,44608,25.7,2301,3765,2024-04-10
COMP-1406,37009,25.0,6043,3045,2024-04-29
COMP-1407,3960,4.6,9596,1484,2024-06-09
COMP-1408,15980,11.2,8864,3906,2024-05-27
COMP-1409,44292,16.6,7568,2439,2024-05-30
COMP-1410,45316,10.9,4039,2608,2024-06-18
COMP-1411,37136,14.2,2372,846,2024-04-20
COMP-1412,3420,10.3,4248,4670,2024-05-02
COMP-1413,26758,10.2,1656,2914,2024-06-11
COMP-1414,49998,3.4,6551,2995,2024-05-20
COMP-1415,33695,21.8,6002,2650,2024-04-25
COMP-1416,17951,17.8,9435,4993,2024-05-29
COMP-1417,5079,1.9,2394,2742,2024-06-05
COMP-1418,4853,9.9,1454,4874,2024-04-27
COMP-1419,35737,8.6,6951,541,2024-05-15
COMP-1420,65,13.3,2246,3469,2024-05-15
COMP-1421,27136,7.1,3083,4001,2024-04-02
COMP-1422,4092,14.8,5418,1203,2024-06-29
COMP-1423,10167,9.6,1900,3436,2024-04-04
COMP-1424,32862,8.2,1835,1100,2024-04-01
COMP-1425,32782,8.6,4863,2113,2024-05-03
COMP-1426,46411,24.9,5013,1609,2024-06-22
COMP-1427,27208,7.6,7927,1482,2024-04-18
COMP-1428,47870,22.2,8493,1583,2024-04-12
COMP-1429,49570,4.1,7210,3292,2024-06-25
COMP-1430,32613,13.1,3473,3824,2024-06-02
COMP-1431,3743,18.9,7448,2350,2024-04-03
COMP-1432,17630,20.5,4066,672,2024-04-24
COMP-1433,24572,20.2,9889,1752,2024-06-04
COMP-1434,39254,25.2,251,4957,2024-04-26
COMP-1435,24865,20.7,8145,990,2024-04-24
COMP-1436,17400,24.2,7540,3948,2024-04-08
COMP-1437,7561,1.3,3854,162,2024-06-26
COMP-1438,38362,21.8,4522,228,2024-04-14
COMP-1439,11283,8.2,4103,4703,2024-05-15
COMP-1440,667,16.7,8343,2319,2024-06-17
COMP-1441,25731,14.7,3686,267,2024-05-12
COMP-1442,11300,24.3,8324,4692,2024-06-20
COMP-1443,25488,10.5,2321,2175,2024-06-03
COMP-1444,5708,1.5,4142,2284,2024-06-24
COMP-1445,48298,3.1,8400,2352,2024-04-16
COMP-1446,28777,8.4,3134,4871,2024-06-20
COMP-1447,35300,9.6,231,150,2024-04-15
COMP-1448,48374,2.1,9208,1177,2024-06-27
COMP-1449,2215,20.0,1672,2945,2024-06-11
COMP-1450,30087,23.2,2385,716,2024-04-12
COMP-1451,13549,4.7,6736,2279,2024-05-26
COMP-1452,25373,17.6,2438,4211,2024-04-20
COMP-1453,36208,23.4,1507,525,2024-05-19
COMP-1454,9217,1.8,7971,4017,2024-05-28
COMP-1455,48195,18.8,246,3903,2024-06-22
COMP-1456,8003,20.4,3449,3365,2024-04-23
COMP-1457,23481,18.2,6439,2280,2024-05-02
COMP-1458,32269,9.4,6449,4401,2024-06-27
COMP-1459,24309,1.7,4474,1123,2024-05-18
COMP-1460,40773,5.1,4694,4720,2024-04-20
COMP-1461,2149,14.8,7072,3557,2024-04-07
COMP-1462,3525,7.2,2943,3578,2024-06-13
COMP-1463,8179,5.7,5490,4376,2024-04-12
COMP-1464,4060,13.0,3112,1312,2024-05-13
COMP-1465,48139,19.3,3146,2875,2024-04-28
COMP-1466,32319,16.0,7632,2300,2024-05-19
COMP-1467,13269,18.8,4544,3876,2024-05-27
COMP-1468,36648,4.7,4429,1366,2024-04-29
COMP-1469,10822,25.8,861,791,2024-06-17
COMP-1470,20159,6.6,3891,2115,2024-06-03
COMP-1471,12494,18.8,3292,3961,2024-06-14
COMP-1472,24795,3.1,2712,2075,2024-05-31
COMP-1473,18173,10.2,9419,4050,2024-04-21
COMP-1474,7240,12.0,4671,1777,2024-04-16
COMP-1475,49798,22.6,365,1860,2024-05-17
COMP-1476,5103,23.6,3576,580,2024-05-30
COMP-1477,24046,24.4,9780,1585,2024-06-05
COMP-1478,28568,21.2,3472,519,2024-06-12
COMP-1479,47162,3.8,7347,1291,2024-06-11
COMP-1480,32067,19.5,5055,3901,2024-04-24
COMP-1481,5289,7.4,6128,4893,2024-05-23
COMP-1482,39380,7.6,2537,950,2024-05-31
COMP-1483,8672,5.8,6029,3526,2024-06-26
COMP-1484,22024,1.1,6955,832,2024-04-03
COMP-1485,38606,0.7,3568,284,2024-04-11
COMP-1486,33711,21.3,6038,3061,2024-05-21
COMP-1487,19027,17.2,3606,4034,2024-05-24
COMP-1488,12693,7.6,5607,412,2024-05-31
COMP-1489,3528,20.4,913,225,2024-05-29
COMP-1490,12731,7.1,9753,3192,2024-05-18
COMP-1491,9365,18.2,3125,4855,2024-04-18
COMP-1492,18768,9.9,4921,208,2024-04-23
COMP-1493,45462,15.8,1995,2118,2024-04-24
COMP-1494,33988,17.2,2766,1597,2024-04-24
COMP-1495,32032,8.8,1262,269,2024-05-24
COMP-1496,23077,15.0,7782,3340,2024-05-20
COMP-1497,45367,0.6,3256,2083,2024-06-28
COMP-1498,49194,3.5,2480,1407,2024-06-19
COMP-1499,18436,15.9,6067,4042,2024-06-25
COMP-1500,21215,4.2,5980,1073,2024-05-27
COMP-1501,32566,13.8,9898,1567,2024-06-26
COMP-1502,19919,17.6,3542,1329,2024-06-09
COMP-1503,19462,11.3,9649,4113,2024-06-28
COMP-1504,16840,17.7,5452,3524,2024-05-19
COMP-1505,46481,23.5,9289,3222,2024-06-17
COMP-1506,5978,8.5,891,392,2024-05-06
COMP-1507,20561,7.4,6056,3094,2024-04-05
COMP-1508,15838,21.0,3142,2681,2024-04-16
COMP-1509,3703,6.4,1074,164,2024-06-10
COMP-1510,13555,9.5,9205,4793,2024-04-15
COMP-1511,12532,12.2,4832,1886,2024-04-09
COMP-1512,33022,19.5,4465,1772,2024-05-22
COMP-1513,2369,1.9,1108,4192,2024-06-11
COMP-1514,27078,10.0,7251,4630,2024-05-20
COMP-1515,43357,16.4,1108,3545,2024-04-18
COMP-1516,17896,25.6,6284,630,2024-06-28
COMP-1517,28748,13.3,255,1375,2024-06-06
COMP-1518,17313,20.7,6897,837,2024-06-20
COMP-1519,8325,1.3,9182,1611,2024-04-29
COMP-1520,18100,17.5,3906,1141,2024-06-21
COMP-1521,35742,24.4,9378,2041,2024-05-14
COMP-1522,17860,16.7,5145,182,2024-05-08
COMP-1523,18862,15.5,5481,4338,2024-04-13
COMP-1524,48576,5.5,6150,4255,2024-04-08
COMP-1525,1862,4.7,2238,297,2024-04-01
COMP-1526,4809,3.1,2213,4009,2024-05-10
COMP-1527,26995,2.0,8290,1018,2024-05-16
COMP-1528,48112,11.4,778,1022,2024-05-30
COMP-1529,10049,24.2,1457,2050,2024-05-03
COMP-1530,33507,23.6,8447,4082,2024-04-07
COMP-1531,48304,8.3,7507,2878,2024-04-16
COMP-1532,37678,7.4,5250,2907,2024-05-26
COMP-1533,22808,12.4,3082,2253,2024-04-20
COMP-1534,5606,7.3,4900,1615,2024-06-22
COMP-1535,28728,11.1,8572,3758,2024-05-21
COMP-1536,19933,22.2,7661,1377,2024-05-14
COMP-1537,12512,6.6,6361,3733,2024-04-06
COMP-1538,1401,18.8,5722,1142,2024-06-19
COMP-1539,25678,9.9,6406,2684,2024-05-20
COMP-1540,24176,20.8,6854,90,2024-05-29
COMP-1541,486,6.1,8745,4204,2024-05-10
COMP-1542,2571,7.9,1597,2646,2024-04-10
COMP-1543,14456,23.8,214,3020,2024-05-31
COMP-1544,3933,2.8,6989,2990,2024-05-03
COMP-1545,28490,14.7,9104,1565,2024-05-28
COMP-1546,7533,18.7,7957,754,2024-06-19
COMP-1547,39105,17.4,6691,4902,2024-04-23
COMP-1548,13884,10.7,3231,3697,2024-04-04
COMP-1549,20274,13.5,5777,424,2024-04-02
COMP-1550,27038,10.6,2372,4119,2024-04-22
COMP-1551,19107,25.2,7160,2579,2024-05-02
COMP-1552,32255,10.6,3199,3419,2024-06-21
COMP-1553,7300,3.8,9245,1108,2024-05-11
COMP-1554,293,3.9,4074,1534,2024-06-03
COMP-1555,3356,1.3,6372,159,2024-04-04
COMP-1556,5913,2.7,9100,2750,2024-04-12
COMP-1557,3579,2.2,3353,889,2024-06-02
COMP-1558,40332,17.5,8108,179,2024-06-08
COMP-1559,46085,18.5,7220,3635,2024-04-24
COMP-1560,49006,21.4,5453,124,2024-05-03
COMP-1561,39821,21.2,1341,3287,2024-05-31
COMP-1562,10097,17.7,7080,889,2024-05-30
COMP-1563,25326,18.2,1700,130,2024-04-14
COMP-1564,35842,16.5,8399,1948,2024-06-09
COMP-1565,11770,19.7,3230,2645,2024-05-24
